n_elements,n_sources,snr_db,n_trials,rmse_deg,p50_deg,p90_deg,p99_deg,detection_rate,det_ci_lo,det_ci_hi
4,1,-15,1000,5.24583,4.3643,8.42399,9.79243,0.368,0.3387,0.3983
4,1,-14,1000,5.055,4.1626,8.31918,9.72689,0.469,0.4382,0.5
4,1,-13,1000,4.91218,3.74025,8.11752,9.83279,0.538,0.507,0.5687
4,1,-12,1000,4.81829,3.6864,8.02434,9.7561,0.642,0.6118,0.6711
4,1,-11,1000,4.61846,3.36555,7.9295,9.72068,0.754,0.7264,0.7797
4,1,-10,1000,4.11608,2.7747,7.1863,9.52119,0.837,0.8128,0.8586
4,1,-9,1000,3.76025,2.37515,6.43381,9.41996,0.892,0.8712,0.9098
4,1,-8,1000,3.4277,2.1652,5.6675,9.3541,0.951,0.9358,0.9627
4,1,-7,1000,3.00157,1.8567,4.8716,9.14147,0.965,0.9517,0.9747
4,1,-6,1000,2.6905,1.54695,4.36584,8.21519,0.978,0.9669,0.9854
4,1,-5,1000,2.32933,1.2784,4.00754,6.89531,0.988,0.9791,0.9931
4,1,-4,1000,2.2427,1.1526,3.56872,7.4484,0.985,0.9754,0.9909
4,1,-3,1000,1.83236,1.01595,2.81437,5.98348,0.992,0.9843,0.9959
4,1,-2,1000,1.67793,0.8903,2.56822,5.8408,0.993,0.9856,0.9966
4,1,-1,1000,1.41723,0.7572,2.1589,4.78736,0.996,0.9898,0.9984
4,1,0,1000,1.24213,0.62955,1.9177,4.14799,0.998,0.9927,0.9995
4,1,1,1000,1.19202,0.6159,1.75062,4.07328,1.0,0.9962,1.0
4,1,2,1000,0.98025,0.48995,1.49974,3.17727,1.0,0.9962,1.0
4,1,3,1000,0.94236,0.4432,1.30201,3.39628,1.0,0.9962,1.0
4,1,4,1000,0.81449,0.38295,1.24461,2.82795,1.0,0.9962,1.0
4,1,5,1000,0.68355,0.34055,0.97678,2.68382,1.0,0.9962,1.0
4,1,6,1000,0.63548,0.3001,0.92572,2.18022,1.0,0.9962,1.0
4,1,7,1000,0.55886,0.2488,0.75565,2.09635,1.0,0.9962,1.0
4,1,8,1000,0.46822,0.23525,0.71054,1.64365,1.0,0.9962,1.0
4,1,9,1000,0.39636,0.196,0.56677,1.44236,1.0,0.9962,1.0
4,1,10,1000,0.38212,0.18225,0.55435,1.44947,1.0,0.9962,1.0
4,1,11,1000,0.3374,0.1698,0.5025,1.17494,1.0,0.9962,1.0
4,1,12,1000,0.29513,0.15,0.49442,0.95541,1.0,0.9962,1.0
4,1,13,1000,0.27946,0.1374,0.40316,0.96396,1.0,0.9962,1.0
4,1,14,1000,0.23422,0.12025,0.33737,0.83706,1.0,0.9962,1.0
4,1,15,1000,0.21841,0.1099,0.34295,0.75652,1.0,0.9962,1.0
4,1,16,1000,0.18818,0.09745,0.27848,0.5877,1.0,0.9962,1.0
4,1,17,1000,0.17117,0.0945,0.24763,0.61197,1.0,0.9962,1.0
4,1,18,1000,0.16405,0.08815,0.24062,0.5886,1.0,0.9962,1.0
4,1,19,1000,0.14108,0.0759,0.214,0.48629,1.0,0.9962,1.0
4,1,20,1000,0.12912,0.07405,0.19939,0.44418,1.0,0.9962,1.0
4,1,21,1000,0.12242,0.07155,0.18783,0.39326,1.0,0.9962,1.0
4,1,22,1000,0.10966,0.06655,0.15992,0.33478,1.0,0.9962,1.0
4,1,23,1000,0.09926,0.06135,0.16111,0.32279,1.0,0.9962,1.0
4,1,24,1000,0.08899,0.0551,0.14463,0.25733,1.0,0.9962,1.0
4,1,25,1000,0.08652,0.05355,0.13035,0.29566,1.0,0.9962,1.0
4,1,26,1000,0.08192,0.054,0.12352,0.24381,1.0,0.9962,1.0
4,1,27,1000,0.0755,0.05195,0.11461,0.2186,1.0,0.9962,1.0
4,1,28,1000,0.07404,0.0535,0.11096,0.2134,1.0,0.9962,1.0
4,1,29,1000,0.07055,0.0501,0.1083,0.19132,1.0,0.9962,1.0
4,1,30,1000,0.06942,0.05205,0.10824,0.16611,1.0,0.9962,1.0
4,2,-15,1000,5.10018,3.49195,8.25922,9.88034,0.314,0.286,0.3434
4,2,-14,1000,4.7281,3.1547,8.04663,9.91868,0.332,0.3035,0.3618
4,2,-13,1000,4.60885,3.1166,8.09308,9.49815,0.417,0.3868,0.4478
4,2,-12,1000,4.58316,2.7997,8.29997,9.58778,0.45,0.4194,0.481
4,2,-11,1000,4.52664,3.1049,7.69922,9.68249,0.483,0.4522,0.514
4,2,-10,1000,4.34607,2.71205,7.60829,9.77449,0.548,0.517,0.5786
4,2,-9,1000,3.90342,2.385,6.83174,9.40672,0.643,0.6128,0.6721
4,2,-8,1000,3.63112,2.08535,6.21174,9.56471,0.714,0.6852,0.7411
4,2,-7,1000,3.43101,1.9273,6.11897,9.41459,0.74,0.7119,0.7662
4,2,-6,1000,3.05266,1.7557,5.23406,8.69734,0.799,0.773,0.8227
4,2,-5,1000,2.82764,1.4828,4.669,8.93616,0.827,0.8023,0.8492
4,2,-4,1000,2.57595,1.3796,4.0191,8.82109,0.835,0.8107,0.8567
4,2,-3,1000,2.46316,1.0609,4.11458,8.42661,0.869,0.8467,0.8885
4,2,-2,1000,2.3362,0.9385,3.93604,8.56464,0.903,0.8831,0.9198
4,2,-1,1000,2.09757,0.8596,3.27728,7.6228,0.905,0.8852,0.9217
4,2,0,1000,1.83174,0.82485,2.67269,7.3814,0.918,0.8994,0.9334
4,2,1,1000,1.81723,0.6829,2.659,7.53967,0.929,0.9114,0.9433
4,2,2,1000,1.71748,0.61115,2.15955,7.89238,0.934,0.9169,0.9478
4,2,3,1000,1.6581,0.53505,2.16015,7.84338,0.954,0.9392,0.9653
4,2,4,1000,1.67641,0.53195,2.13925,7.9331,0.958,0.9437,0.9688
4,2,5,1000,1.16835,0.39985,1.54555,4.93277,0.956,0.9414,0.9671
4,2,6,1000,1.26694,0.38655,1.57695,5.77538,0.966,0.9529,0.9756
4,2,7,1000,1.10099,0.3216,1.3802,5.40719,0.966,0.9529,0.9756
4,2,8,1000,1.10852,0.3092,1.30924,4.7346,0.979,0.9681,0.9862
4,2,9,1000,1.0707,0.2707,1.06336,4.92418,0.984,0.9742,0.9901
4,2,10,1000,0.85594,0.2287,0.9673,3.41534,0.981,0.9705,0.9878
4,2,11,1000,0.79452,0.20875,0.8901,3.66323,0.986,0.9766,0.9916
4,2,12,1000,0.78959,0.19,0.81084,3.18294,0.989,0.9804,0.9938
4,2,13,1000,0.76828,0.17895,0.69525,3.66014,0.99,0.9817,0.9946
4,2,14,1000,0.80713,0.15205,0.65105,4.36861,0.99,0.9817,0.9946
4,2,15,1000,0.70215,0.1408,0.54946,2.28095,0.992,0.9843,0.9959
4,2,16,1000,0.66898,0.1267,0.52738,2.93801,0.995,0.9883,0.9979
4,2,17,1000,0.59909,0.11465,0.48818,2.45126,0.994,0.987,0.9972
4,2,18,1000,0.6168,0.1084,0.43168,2.75127,0.995,0.9883,0.9979
4,2,19,1000,0.48308,0.0947,0.39935,2.03569,0.996,0.9898,0.9984
4,2,20,1000,0.39758,0.0967,0.42478,1.7941,0.997,0.9912,0.999
4,2,21,1000,0.49463,0.0858,0.29898,2.11718,0.997,0.9912,0.999
4,2,22,1000,0.36959,0.07605,0.28113,0.87411,0.998,0.9927,0.9995
4,2,23,1000,0.35162,0.0747,0.27059,1.47116,0.998,0.9927,0.9995
4,2,24,1000,0.36021,0.06775,0.22794,1.54191,0.998,0.9927,0.9995
4,2,25,1000,0.27787,0.0676,0.20865,1.33428,1.0,0.9962,1.0
4,2,26,1000,0.34844,0.06045,0.18468,0.89291,1.0,0.9962,1.0
4,2,27,1000,0.18099,0.0595,0.17963,0.91047,1.0,0.9962,1.0
4,2,28,1000,0.17963,0.06275,0.16369,0.69613,0.998,0.9927,0.9995
4,2,29,1000,0.15669,0.0578,0.14016,0.41766,0.999,0.9944,0.9998
4,2,30,1000,0.24251,0.05685,0.12861,0.56466,1.0,0.9962,1.0
4,3,-15,1000,5.84093,4.9597,9.10738,9.94813,0.303,0.2753,0.3322
4,3,-14,1000,5.33998,4.5935,8.409,9.91158,0.333,0.3045,0.3628
4,3,-13,1000,5.378,4.51465,8.4761,9.87549,0.336,0.3074,0.3659
4,3,-12,1000,5.44318,4.45565,8.60205,9.79785,0.378,0.3485,0.4085
4,3,-11,1000,5.23594,4.16805,8.55807,9.60153,0.394,0.3642,0.4246
4,3,-10,1000,5.10536,3.5903,8.62434,9.80991,0.435,0.4046,0.4659
4,3,-9,1000,5.30993,4.157,8.61576,9.81302,0.465,0.4343,0.496
4,3,-8,1000,5.281,3.9553,8.7665,9.92786,0.48,0.4492,0.511
4,3,-7,1000,4.97646,3.58565,8.40175,9.70198,0.546,0.515,0.5766
4,3,-6,1000,4.9029,3.3379,8.38792,9.89459,0.582,0.5512,0.6122
4,3,-5,1000,4.84736,3.3964,8.11223,9.61289,0.642,0.6118,0.6711
4,3,-4,1000,4.79598,3.4002,8.2109,9.83476,0.623,0.5925,0.6525
4,3,-3,1000,4.50076,3.01935,7.85364,9.90713,0.69,0.6607,0.7179
4,3,-2,1000,4.2335,2.5325,7.54325,9.4387,0.712,0.6832,0.7392
