n_elements,n_sources,snr_db,n_trials,rmse_deg,p50_deg,p90_deg,p99_deg,detection_rate,det_ci_lo,det_ci_hi
4,1,-15,1000,,,,,0.0,0.0,0.0038
4,1,-14,1000,,,,,0.0,0.0,0.0038
4,1,-13,1000,,,,,0.0,0.0,0.0038
4,1,-12,1000,,,,,0.0,0.0,0.0038
4,1,-11,1000,,,,,0.0,0.0,0.0038
4,1,-10,1000,,,,,0.0,0.0,0.0038
4,1,-9,1000,,,,,0.0,0.0,0.0038
4,1,-8,1000,,,,,0.0,0.0,0.0038
4,1,-7,1000,,,,,0.0,0.0,0.0038
4,1,-6,1000,0.748,0.748,0.748,0.748,0.001,0.0002,0.0056
4,1,-5,1000,2.26034,1.0187,3.90964,5.18349,0.039,0.0287,0.0529
4,1,-4,1000,2.19135,1.1664,3.38549,7.56104,0.294,0.2666,0.323
4,1,-3,1000,1.74389,0.98145,2.68135,5.58199,0.806,0.7803,0.8293
4,1,-2,1000,1.65223,0.8871,2.55604,5.58361,0.987,0.9779,0.9924
4,1,-1,1000,1.43681,0.7444,2.20478,4.93871,0.997,0.9912,0.999
4,1,0,1000,1.22557,0.6373,1.87878,3.87841,0.997,0.9912,0.999
4,1,1,1000,1.16522,0.61,1.73848,4.00543,0.999,0.9944,0.9998
4,1,2,1000,0.97779,0.4802,1.48662,3.13034,1.0,0.9962,1.0
4,1,3,1000,0.92919,0.44375,1.32529,3.46573,1.0,0.9962,1.0
4,1,4,1000,0.81073,0.37495,1.25088,2.83464,1.0,0.9962,1.0
4,1,5,1000,0.68432,0.33135,0.97988,2.6627,1.0,0.9962,1.0
4,1,6,1000,0.63129,0.29285,0.91708,2.21771,1.0,0.9962,1.0
4,1,7,1000,0.55543,0.24575,0.74962,2.06416,1.0,0.9962,1.0
4,1,8,1000,0.46679,0.23175,0.72151,1.61206,1.0,0.9962,1.0
4,1,9,1000,0.3925,0.1971,0.57672,1.34109,1.0,0.9962,1.0
4,1,10,1000,0.38042,0.17475,0.55602,1.4166,1.0,0.9962,1.0
4,1,11,1000,0.32807,0.16075,0.49269,1.08701,1.0,0.9962,1.0
4,1,12,1000,0.28975,0.1469,0.4775,0.92374,1.0,0.9962,1.0
4,1,13,1000,0.2769,0.13415,0.38994,0.96874,1.0,0.9962,1.0
4,1,14,1000,0.22631,0.10905,0.32783,0.78354,1.0,0.9962,1.0
4,1,15,1000,0.2123,0.0987,0.32874,0.74043,1.0,0.9962,1.0
4,1,16,1000,0.18084,0.08365,0.26625,0.56418,1.0,0.9962,1.0
4,1,17,1000,0.16265,0.0797,0.24394,0.60231,1.0,0.9962,1.0
4,1,18,1000,0.15277,0.0763,0.22591,0.5751,1.0,0.9962,1.0
4,1,19,1000,0.12729,0.0623,0.18499,0.45236,1.0,0.9962,1.0
4,1,20,1000,0.11747,0.05555,0.1696,0.46769,1.0,0.9962,1.0
4,1,21,1000,0.10819,0.05015,0.16186,0.36381,1.0,0.9962,1.0
